id,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance,Inflight_wifi_service,Departure/Arrival_time_convenient,Ease_of_Online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,Onboard_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_Delay_in_Minutes,Arrival_Delay_in_Minutes,satisfaction
70594,Female,Loyal Customer,35,Business travel,Business,2611,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120,satisfied
30089,Female,Loyal Customer,67,Personal Travel,Eco,1192,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24,dissatisfied
58779,Male,disloyal Customer,37,Business travel,Business,1182,3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0,dissatisfied
79659,Female,Loyal Customer,40,Business travel,Eco,349,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1,dissatisfied
110293,Female,disloyal Customer,34,Business travel,Business,883,3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0,dissatisfied
48014,Male,Loyal Customer,40,Personal Travel,Eco Plus,550,4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20,dissatisfied
96517,Female,Loyal Customer,47,Personal Travel,Eco,302,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31,satisfied
64685,Male,disloyal Customer,41,Business travel,Business,354,1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0,dissatisfied
64138,Male,Loyal Customer,39,Business travel,Business,1734,4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0,satisfied
60373,Female,disloyal Customer,25,Business travel,Business,1452,3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23,dissatisfied
14849,Male,Loyal Customer,41,Business travel,Business,296,0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0,satisfied
28319,Female,Loyal Customer,38,Business travel,Business,2882,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0,satisfied
103012,Female,Loyal Customer,50,Business travel,Business,460,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15,satisfied
124114,Male,Loyal Customer,29,Business travel,Business,529,1,1,1,1,5,5,5,5,4,2,5,5,4,5,4,0,satisfied
107794,Female,Loyal Customer,22,Personal Travel,Business,349,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0,dissatisfied
81983,Female,Loyal Customer,13,Business travel,Business,1522,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0,dissatisfied
53164,Male,Loyal Customer,54,Business travel,Business,612,3,3,3,3,5,2,3,5,5,5,5,4,5,3,8,0,satisfied
82042,Male,Loyal Customer,21,Personal Travel,Eco,1454,2,2,2,3,5,2,5,5,2,3,3,1,3,5,0,0,dissatisfied
72127,Male,Loyal Customer,28,Business travel,Eco,731,2,1,1,1,2,2,2,2,3,3,2,3,3,2,14,8,dissatisfied
113046,Male,Loyal Customer,27,Business travel,Business,2076,3,3,3,3,4,4,4,4,3,4,4,4,5,4,0,1,satisfied
1050,Female,Loyal Customer,69,Business travel,Eco,309,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0,satisfied
54886,Male,Loyal Customer,35,Personal Travel,Eco,775,2,3,2,4,4,2,4,4,4,4,3,4,1,4,1,0,dissatisfied
125918,Female,Loyal Customer,60,Personal Travel,Eco,861,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10,dissatisfied
7467,Female,Loyal Customer,45,Business travel,Business,3334,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48,satisfied
78972,Female,Loyal Customer,57,Business travel,Business,2496,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5,satisfied
126625,Male,Loyal Customer,40,Business travel,Business,602,5,5,5,5,2,5,5,5,5,5,5,3,5,4,0,0,satisfied
114501,Female,disloyal Customer,38,Business travel,Business,308,3,3,3,3,4,3,4,4,1,1,4,2,3,4,39,26,dissatisfied
114813,Male,disloyal Customer,23,Business travel,Eco,446,2,4,2,1,4,2,4,4,4,2,4,5,5,4,4,0,dissatisfied
32167,Male,disloyal Customer,39,Business travel,Business,216,2,2,2,3,3,2,3,3,2,1,4,2,4,3,0,0,dissatisfied
68001,Female,Loyal Customer,52,Business travel,Business,3475,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0,satisfied
117052,Male,disloyal Customer,25,Business travel,Eco,646,2,1,2,2,4,2,3,4,4,4,3,2,2,4,13,1,dissatisfied
8661,Female,Loyal Customer,48,Business travel,Business,2501,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0,satisfied
57165,Female,Loyal Customer,59,Business travel,Business,2227,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15,satisfied
78610,Male,Loyal Customer,25,Business travel,Business,1426,3,3,3,3,4,5,4,4,5,4,4,4,4,4,4,0,satisfied
51058,Male,Loyal Customer,38,Personal Travel,Eco,190,2,4,2,3,4,2,4,4,3,2,4,4,5,4,0,0,dissatisfied
92027,Male,Loyal Customer,46,Business travel,Business,1532,2,2,2,2,2,4,5,5,5,5,5,5,5,4,0,0,satisfied
115534,Male,Loyal Customer,50,Business travel,Eco,308,2,1,1,1,2,2,2,2,3,2,2,2,3,2,18,12,dissatisfied
9261,Female,Loyal Customer,38,Business travel,Eco Plus,157,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0,satisfied
61033,Female,Loyal Customer,53,Business travel,Business,1506,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0,satisfied
75930,Male,Loyal Customer,30,Business travel,Eco Plus,205,3,2,2,2,3,3,3,3,2,5,1,1,2,3,64,49,dissatisfied
112142,Male,disloyal Customer,39,Business travel,Business,895,2,2,2,4,5,2,5,5,5,4,4,5,5,5,0,2,dissatisfied
24518,Male,Loyal Customer,66,Personal Travel,Eco Plus,516,1,4,1,2,2,1,2,2,4,4,5,5,5,2,0,37,dissatisfied
112524,Male,Loyal Customer,45,Personal Travel,Eco,909,3,5,3,2,1,3,1,1,4,4,5,3,4,1,0,0,dissatisfied
101639,Female,disloyal Customer,25,Business travel,Business,1435,5,1,5,4,1,5,1,1,4,2,5,4,5,1,1,1,satisfied
85018,Male,Loyal Customer,52,Business travel,Business,1190,2,4,4,4,1,4,3,2,2,2,2,1,2,4,0,6,dissatisfied
106922,Male,Loyal Customer,64,Personal Travel,Eco,1259,4,5,4,2,2,4,2,2,4,5,3,4,4,2,20,5,satisfied
32564,Female,disloyal Customer,50,Business travel,Eco,216,4,0,4,4,4,4,4,4,5,2,1,4,4,4,0,0,dissatisfied
92242,Female,disloyal Customer,41,Business travel,Business,1670,2,1,1,2,3,2,4,3,3,5,3,4,5,3,0,0,dissatisfied
73302,Male,Loyal Customer,26,Business travel,Business,3960,1,1,1,1,4,4,4,4,4,2,5,4,4,4,45,48,satisfied
42267,Female,disloyal Customer,25,Business travel,Eco,817,4,4,4,3,3,4,3,3,2,3,2,3,3,3,0,0,dissatisfied
121358,Female,disloyal Customer,44,Business travel,Business,1670,3,3,3,4,5,3,5,5,3,2,4,2,4,5,0,8,dissatisfied
65655,Female,disloyal Customer,21,Business travel,Business,861,4,0,4,4,1,4,1,1,3,4,4,4,5,1,0,0,satisfied
88062,Male,Loyal Customer,47,Business travel,Business,406,2,2,2,2,3,5,5,4,4,4,4,5,4,4,44,50,satisfied
91330,Male,Loyal Customer,31,Business travel,Eco Plus,404,4,4,4,4,4,4,4,4,1,2,2,4,2,4,17,3,satisfied
22031,Female,Loyal Customer,57,Personal Travel,Eco Plus,500,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0,dissatisfied
27921,Male,Loyal Customer,44,Personal Travel,Eco,689,3,5,3,4,5,3,2,5,4,4,5,3,5,5,0,0,dissatisfied
51947,Male,Loyal Customer,45,Business travel,Business,3100,3,3,3,3,1,1,3,4,4,4,4,3,4,1,0,0,satisfied
40017,Male,disloyal Customer,13,Business travel,Eco,525,2,2,2,3,3,2,3,3,3,1,3,1,4,3,0,0,dissatisfied
76392,Male,Loyal Customer,60,Personal Travel,Eco,931,0,5,0,3,4,0,3,4,4,5,5,4,5,4,0,0,satisfied
118486,Female,disloyal Customer,41,Business travel,Business,304,5,5,5,3,2,5,2,2,3,4,4,4,4,2,31,19,satisfied
6012,Male,Loyal Customer,30,Business travel,Business,1896,4,1,1,1,4,4,4,4,2,2,3,4,2,4,81,72,dissatisfied
30183,Female,Loyal Customer,51,Business travel,Eco Plus,261,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0,satisfied
41652,Female,Loyal Customer,61,Business travel,Eco,347,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11,satisfied
15138,Female,Loyal Customer,32,Business travel,Eco,1042,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34,satisfied
123589,Female,Loyal Customer,39,Personal Travel,Eco,1773,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18,dissatisfied
114534,Male,Loyal Customer,19,Personal Travel,Business,342,3,1,3,2,3,3,3,3,2,1,3,1,3,3,0,0,dissatisfied
93076,Female,Loyal Customer,15,Personal Travel,Eco Plus,297,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62,dissatisfied
96963,Female,disloyal Customer,42,Business travel,Business,883,3,3,3,3,3,3,4,3,5,2,4,3,4,3,22,27,satisfied
85494,Female,Loyal Customer,16,Personal Travel,Eco,332,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52,dissatisfied
72989,Male,Loyal Customer,19,Business travel,Business,2388,5,5,5,5,4,5,4,4,5,5,1,5,4,4,0,0,satisfied
42357,Female,Loyal Customer,29,Personal Travel,Eco,748,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0,dissatisfied
23040,Female,disloyal Customer,27,Business travel,Eco Plus,1080,3,3,3,3,3,3,3,3,4,1,3,3,3,3,0,0,dissatisfied
65420,Male,disloyal Customer,22,Business travel,Business,231,5,0,5,4,5,5,5,5,3,4,4,3,1,5,0,0,satisfied
65045,Female,Loyal Customer,15,Personal Travel,Eco,551,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0,dissatisfied
37373,Male,disloyal Customer,11,Business travel,Eco,972,1,1,1,3,1,1,1,1,4,3,4,2,1,1,0,0,dissatisfied
44405,Female,Loyal Customer,34,Personal Travel,Eco,265,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23,dissatisfied
16653,Female,disloyal Customer,26,Business travel,Eco,488,2,0,2,4,1,2,1,1,3,2,5,1,3,1,0,0,dissatisfied
71655,Female,Loyal Customer,26,Personal Travel,Eco,1144,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0,dissatisfied
77591,Male,Loyal Customer,53,Business travel,Business,2332,5,5,5,5,5,5,5,4,4,5,4,4,4,3,0,3,satisfied
4585,Male,Loyal Customer,36,Business travel,Business,3024,4,2,2,2,1,3,4,4,4,4,4,4,4,1,30,13,dissatisfied
108347,Male,Loyal Customer,32,Business travel,Business,1750,1,5,4,5,1,1,1,1,1,1,2,4,3,1,0,0,dissatisfied
23400,Male,Loyal Customer,20,Personal Travel,Eco,483,2,3,2,3,5,2,5,5,5,2,3,2,4,5,91,82,dissatisfied
31010,Female,Loyal Customer,35,Business travel,Business,2128,2,2,2,2,1,5,1,4,4,4,4,5,4,4,0,0,satisfied
57513,Male,Loyal Customer,15,Personal Travel,Eco,235,2,4,2,1,1,2,1,1,3,3,4,4,4,1,1,10,dissatisfied
20979,Male,Loyal Customer,52,Personal Travel,Eco,689,2,5,2,3,3,2,3,3,1,1,2,2,2,3,0,0,dissatisfied
95841,Male,Loyal Customer,45,Business travel,Business,1852,1,1,1,1,5,5,4,2,2,2,2,5,2,5,0,0,satisfied
114684,Female,disloyal Customer,24,Business travel,Eco,372,4,4,4,3,3,4,5,3,5,4,4,4,4,3,21,23,dissatisfied
111667,Female,Loyal Customer,46,Business travel,Business,3705,4,3,3,3,4,3,4,4,4,4,4,4,4,4,4,0,dissatisfied
20101,Male,disloyal Customer,26,Business travel,Eco,416,3,0,3,3,1,3,1,1,3,5,2,3,3,1,0,9,dissatisfied
63212,Male,Loyal Customer,28,Business travel,Eco,337,4,1,1,1,4,4,4,4,1,3,2,3,2,4,3,0,dissatisfied
8256,Male,Loyal Customer,11,Personal Travel,Eco,335,1,5,1,3,3,1,3,3,4,2,4,5,5,3,0,0,dissatisfied
56161,Male,Loyal Customer,45,Business travel,Business,1400,5,5,5,5,2,5,5,4,4,4,4,3,4,5,4,9,satisfied
121196,Male,Loyal Customer,62,Personal Travel,Eco,2521,4,5,4,3,4,1,1,5,3,5,4,1,4,1,7,30,dissatisfied
23788,Female,Loyal Customer,34,Business travel,Business,374,3,3,3,3,4,4,1,4,4,4,4,5,4,3,0,0,satisfied
129579,Male,Loyal Customer,51,Business travel,Business,308,2,2,2,2,4,5,5,4,4,4,4,3,4,5,17,8,satisfied
127516,Female,Loyal Customer,58,Business travel,Eco Plus,575,1,4,4,4,2,3,4,2,2,1,2,2,2,4,14,16,dissatisfied
18012,Male,Loyal Customer,22,Personal Travel,Eco,618,3,5,3,2,3,3,3,3,4,5,4,5,5,3,0,0,dissatisfied
45561,Male,Loyal Customer,8,Business travel,Eco,1304,4,4,4,4,4,4,4,4,2,2,4,2,1,4,0,0,satisfied
5228,Male,disloyal Customer,26,Business travel,Business,351,4,4,4,3,2,4,2,2,4,5,4,4,5,2,4,11,satisfied
18311,Female,Loyal Customer,22,Personal Travel,Eco,549,4,0,4,3,3,4,1,3,3,2,5,4,5,3,15,3,dissatisfied
59891,Female,Loyal Customer,21,Business travel,Business,3510,3,1,1,1,3,2,3,3,3,3,3,1,3,3,0,0,dissatisfied
60651,Male,Loyal Customer,31,Business travel,Business,1620,3,2,4,2,3,3,3,3,2,2,2,3,4,3,0,0,dissatisfied
51013,Female,Loyal Customer,44,Personal Travel,Eco,326,2,0,2,2,2,3,5,1,1,2,1,2,1,5,0,0,dissatisfied
91746,Male,Loyal Customer,27,Business travel,Business,588,2,2,2,2,5,5,5,5,5,2,5,3,5,5,0,0,satisfied
4233,Female,Loyal Customer,47,Business travel,Business,1020,3,1,3,3,2,4,5,5,5,5,5,3,5,5,0,0,satisfied
14187,Male,Loyal Customer,24,Business travel,Business,2903,3,3,3,3,3,3,3,3,4,2,2,2,2,3,0,0,dissatisfied
19669,Male,Loyal Customer,67,Business travel,Business,2659,1,1,1,1,1,3,3,1,1,1,1,1,1,1,0,0,dissatisfied
31147,Male,Loyal Customer,32,Business travel,Business,3037,2,2,2,2,4,4,4,4,4,1,1,3,5,4,0,0,satisfied
128842,Female,Loyal Customer,58,Personal Travel,Eco,2475,4,4,4,3,4,1,1,3,3,3,4,1,3,1,29,10,satisfied
27562,Male,Loyal Customer,12,Personal Travel,Eco,978,4,5,4,5,1,4,1,1,3,4,4,5,4,1,0,0,dissatisfied
775,Female,Loyal Customer,56,Business travel,Business,2568,3,1,1,1,5,3,2,3,3,3,3,3,3,4,0,0,dissatisfied
14070,Female,Loyal Customer,58,Personal Travel,Business,371,3,5,5,1,2,3,5,1,1,5,1,3,1,3,0,0,dissatisfied
106007,Male,disloyal Customer,24,Business travel,Eco,791,3,3,3,3,5,3,5,5,2,1,3,1,3,5,39,6,dissatisfied
116004,Male,Loyal Customer,68,Personal Travel,Eco,480,3,4,3,3,5,3,5,5,2,4,3,4,4,5,7,6,dissatisfied
68886,Male,Loyal Customer,46,Business travel,Business,1786,1,1,1,1,3,5,5,5,5,5,5,5,5,3,1,7,satisfied
72413,Male,Loyal Customer,43,Business travel,Business,1849,2,2,2,2,2,4,4,3,3,4,3,3,3,4,0,7,satisfied
73604,Female,Loyal Customer,55,Business travel,Business,3634,0,4,0,4,4,5,5,4,4,1,1,4,4,3,0,0,satisfied
48415,Female,Loyal Customer,54,Personal Travel,Business,844,4,5,5,2,2,4,4,3,3,5,3,3,3,4,0,0,dissatisfied
105708,Female,Loyal Customer,42,Business travel,Business,3094,5,5,5,5,4,4,5,2,2,2,2,5,2,3,0,10,satisfied
65579,Female,Loyal Customer,47,Business travel,Business,3465,1,3,3,3,3,3,4,1,1,1,1,1,1,4,13,15,dissatisfied
73058,Female,disloyal Customer,29,Business travel,Business,1035,1,1,1,1,5,1,5,5,4,4,4,4,4,5,0,0,dissatisfied
65585,Female,Loyal Customer,36,Business travel,Eco,237,2,4,4,4,2,2,2,2,2,4,2,1,1,2,0,0,dissatisfied
8346,Female,Loyal Customer,50,Business travel,Business,3175,4,4,4,4,2,4,5,5,5,5,5,4,5,3,0,0,satisfied
79678,Female,Loyal Customer,31,Personal Travel,Eco,760,4,2,4,4,1,4,1,1,3,4,4,4,4,1,17,27,dissatisfied
112483,Male,Loyal Customer,13,Personal Travel,Eco,853,1,4,1,4,4,1,4,4,5,2,5,4,4,4,105,122,dissatisfied
31698,Male,disloyal Customer,24,Business travel,Eco,446,3,4,4,4,5,4,5,5,4,4,4,2,4,5,0,0,dissatisfied
74030,Female,Loyal Customer,60,Business travel,Business,1071,2,2,2,2,4,5,1,3,3,4,3,5,3,1,0,0,satisfied
124931,Female,Loyal Customer,42,Personal Travel,Eco,728,2,3,2,3,5,3,4,3,3,2,3,3,3,2,0,3,dissatisfied
73924,Female,Loyal Customer,57,Business travel,Business,2585,2,2,2,2,4,4,4,4,3,5,4,4,3,4,0,0,satisfied
76073,Female,Loyal Customer,42,Business travel,Business,707,2,2,4,2,2,5,4,3,3,4,3,4,3,3,27,11,satisfied
104623,Male,disloyal Customer,20,Business travel,Eco,861,0,0,0,5,2,0,2,2,4,3,5,3,5,2,0,0,satisfied
58523,Female,Loyal Customer,51,Personal Travel,Eco,719,3,5,2,4,3,5,4,4,4,2,4,4,4,3,19,0,dissatisfied
121929,Male,Loyal Customer,45,Business travel,Business,1790,2,5,2,2,2,4,5,5,5,5,5,3,5,4,0,0,satisfied
30704,Female,Loyal Customer,26,Business travel,Eco Plus,680,5,5,5,5,5,5,5,5,1,4,5,1,3,5,12,27,satisfied
58896,Male,disloyal Customer,26,Business travel,Eco,888,2,2,2,3,5,2,5,5,4,3,3,2,4,5,51,30,dissatisfied
26920,Female,Loyal Customer,24,Personal Travel,Eco,1660,2,1,2,3,3,2,5,3,1,4,2,2,2,3,0,2,dissatisfied
13884,Male,Loyal Customer,49,Business travel,Eco,578,5,1,1,1,5,5,5,1,1,1,4,5,4,5,162,179,satisfied
87681,Female,Loyal Customer,17,Business travel,Eco,606,5,1,4,1,5,5,4,5,5,1,2,5,3,5,15,15,satisfied
81719,Female,Loyal Customer,39,Business travel,Business,1487,3,3,3,3,4,4,5,4,4,4,4,4,4,3,7,0,satisfied
85554,Female,Loyal Customer,49,Business travel,Business,317,0,1,1,1,3,4,5,4,4,4,4,4,4,5,0,0,satisfied
12645,Female,Loyal Customer,48,Personal Travel,Eco,844,3,4,4,3,4,4,4,4,4,4,4,3,4,3,0,1,dissatisfied
101275,Male,Loyal Customer,52,Business travel,Business,3747,5,5,5,5,2,4,5,4,4,4,4,5,4,5,24,20,satisfied
95982,Female,Loyal Customer,25,Business travel,Business,2748,4,4,4,4,3,3,3,3,3,2,4,5,4,3,0,0,satisfied
74610,Female,Loyal Customer,16,Business travel,Business,1503,3,5,5,5,3,3,3,3,2,4,3,2,3,3,0,0,dissatisfied
76449,Male,Loyal Customer,58,Business travel,Business,1717,1,1,1,1,2,4,5,4,4,4,4,5,4,4,0,0,satisfied
14030,Male,disloyal Customer,8,Business travel,Business,1117,4,3,4,3,3,4,3,3,4,5,4,4,3,3,0,7,dissatisfied
69692,Male,Loyal Customer,42,Business travel,Business,1372,3,3,5,3,4,4,4,5,4,5,4,4,3,4,141,125,satisfied
47648,Female,Loyal Customer,52,Business travel,Business,2768,4,1,1,1,2,4,4,4,4,3,4,2,4,4,0,0,dissatisfied
52168,Female,Loyal Customer,47,Business travel,Eco,370,5,3,3,3,2,1,1,5,5,5,5,3,5,4,0,0,satisfied
60251,Female,Loyal Customer,69,Personal Travel,Eco,1546,1,5,1,2,4,3,4,1,1,1,1,4,1,3,1,26,dissatisfied
35881,Female,Loyal Customer,47,Personal Travel,Eco,1023,2,3,3,3,5,3,3,4,4,3,1,3,4,4,0,0,dissatisfied
28852,Female,Loyal Customer,41,Business travel,Business,3636,1,1,1,1,3,5,4,4,4,4,4,5,4,2,0,0,satisfied
55341,Female,Loyal Customer,40,Personal Travel,Eco,1325,4,4,4,3,1,4,1,1,4,2,4,5,5,1,0,9,dissatisfied
84553,Female,Loyal Customer,56,Personal Travel,Eco,2556,1,4,1,3,3,3,1,5,5,1,5,1,5,2,0,0,dissatisfied
100249,Male,Loyal Customer,41,Business travel,Business,1052,2,2,2,2,4,4,4,4,4,4,4,3,4,4,6,0,satisfied
2463,Female,Loyal Customer,40,Business travel,Eco,773,3,4,4,4,3,3,3,3,2,5,4,4,4,3,15,26,dissatisfied
22924,Male,Loyal Customer,12,Personal Travel,Business,817,2,3,2,2,1,2,1,1,1,3,5,3,2,1,0,0,dissatisfied
25542,Male,Loyal Customer,59,Personal Travel,Eco,516,4,5,3,4,1,3,1,1,5,3,4,5,4,1,3,0,satisfied
115972,Female,Loyal Customer,21,Personal Travel,Eco,447,1,5,1,1,2,1,2,2,3,5,5,3,4,2,34,19,dissatisfied
2980,Male,Loyal Customer,12,Personal Travel,Eco,462,2,4,2,3,2,2,2,2,3,4,2,2,1,2,0,0,dissatisfied
125097,Male,Loyal Customer,31,Business travel,Eco,361,1,5,5,5,1,1,1,1,2,5,3,4,4,1,0,0,dissatisfied
46701,Female,Loyal Customer,37,Personal Travel,Eco,125,3,2,3,3,2,3,2,2,3,3,3,4,3,2,6,4,dissatisfied
108006,Female,Loyal Customer,38,Personal Travel,Eco,271,4,0,5,3,2,5,2,2,4,2,4,3,5,2,0,0,satisfied
19578,Male,Loyal Customer,45,Personal Travel,Eco,173,2,5,0,1,2,0,5,2,5,5,4,4,4,2,0,0,dissatisfied
59508,Male,Loyal Customer,43,Business travel,Business,1950,3,3,3,3,4,5,4,4,4,4,4,3,4,5,0,0,satisfied
56446,Female,Loyal Customer,52,Personal Travel,Eco,719,1,5,2,2,3,5,5,3,3,2,3,3,3,3,0,17,dissatisfied
48800,Female,Loyal Customer,57,Business travel,Business,153,3,4,4,4,5,3,4,2,2,2,3,4,2,2,0,0,dissatisfied
129592,Female,Loyal Customer,13,Personal Travel,Business,337,2,3,2,3,1,2,1,1,4,5,2,5,5,1,0,18,dissatisfied
114039,Female,Loyal Customer,45,Business travel,Business,3732,5,5,5,5,5,5,5,5,5,5,5,3,5,4,17,0,satisfied
66800,Female,Loyal Customer,43,Business travel,Business,3854,5,5,5,5,5,4,4,5,5,5,5,5,5,3,0,0,satisfied
106799,Male,Loyal Customer,53,Business travel,Eco,977,2,4,2,4,2,2,2,2,3,2,3,2,3,2,20,17,dissatisfied
47057,Male,Loyal Customer,23,Business travel,Business,3073,4,4,1,4,5,5,5,5,1,3,1,3,3,5,0,3,satisfied
61824,Female,Loyal Customer,16,Personal Travel,Eco,1379,2,5,2,2,2,2,2,2,5,2,4,3,5,2,2,0,dissatisfied
68207,Male,Loyal Customer,23,Business travel,Eco,631,2,2,2,2,2,1,1,2,3,5,4,3,4,2,0,8,dissatisfied
